uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
P0DTC9	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Nucleoprotein	NCAP_SARS2
P0DTC9	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Nucleoprotein	NCAP_SARS2
P11142	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Heat shock cognate 71 kDa protein	HSP7C_HUMAN
P11142	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Heat shock cognate 71 kDa protein	HSP7C_HUMAN
P11142	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Heat shock cognate 71 kDa protein	HSP7C_HUMAN
P11169	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Solute carrier family 2, facilitated glucose transporter member 3	GTR3_HUMAN
P11215	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Integrin alpha-M	ITAM_HUMAN
P11215	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Integrin alpha-M	ITAM_HUMAN
P11215	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Integrin alpha-M	ITAM_HUMAN
P11233	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Ras-related protein Ral-A	RALA_HUMAN
P11279	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Lysosome-associated membrane glycoprotein 1	LAMP1_HUMAN
P11309	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Serine/threonine-protein kinase pim-1	PIM1_HUMAN
P12493	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Gag polyprotein	GAG_HV1N5
P13164	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Interferon-induced transmembrane protein 1	IFM1_HUMAN
P13473	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Lysosome-associated membrane glycoprotein 2	LAMP2_HUMAN
P13498	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cytochrome b-245 light chain	CY24A_HUMAN
P13591	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Neural cell adhesion molecule 1	NCAM1_HUMAN
P13688	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cell adhesion molecule CEACAM1	CEAM1_HUMAN
P13987	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	CD59 glycoprotein	CD59_HUMAN
P13987	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	CD59 glycoprotein	CD59_HUMAN
P14151	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	L-selectin	LYAM1_HUMAN
P14778	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interleukin-1 receptor type 1	IL1R1_HUMAN
P14780	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Matrix metalloproteinase-9	MMP9_HUMAN
P14780	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Matrix metalloproteinase-9	MMP9_HUMAN
P14784	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interleukin-2 receptor subunit beta	IL2RB_HUMAN
P14784	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	IEA	Homo sapiens	Interleukin-2 receptor subunit beta	IL2RB_HUMAN
P14923	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Junction plakoglobin	PLAK_HUMAN
P15144	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Aminopeptidase N	AMPN_HUMAN
P15169	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Carboxypeptidase N catalytic chain	CBPN_HUMAN
P15260	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	Interferon gamma receptor 1	INGR1_HUMAN
P15260	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	IEA	Homo sapiens	Interferon gamma receptor 1	INGR1_HUMAN
P15291	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Beta-1,4-galactosyltransferase 1	B4GT1_HUMAN
P15309	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Prostatic acid phosphatase	PPAP_HUMAN
P15391	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	B-lymphocyte antigen CD19	CD19_HUMAN
P15509	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R_HUMAN
P15692	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Vascular endothelial growth factor A, long form	VEGFA_HUMAN
P15924	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Desmoplakin	DESP_HUMAN
P15941	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Mucin-1	MUC1_HUMAN
P16050	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Polyunsaturated fatty acid lipoxygenase ALOX15	LOX15_HUMAN
P16070	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	CD44 antigen	CD44_HUMAN
P16070	R-HSA-913531	https://reactome.org/PathwayBrowser/#/R-HSA-913531	Interferon Signaling	TAS	Homo sapiens	CD44 antigen	CD44_HUMAN
P16284	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Platelet endothelial cell adhesion molecule	PECA1_HUMAN
P16671	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Platelet glycoprotein 4	CD36_HUMAN
P16671	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Platelet glycoprotein 4	CD36_HUMAN
